en-US	cs-cz	da-dk	de-at	de-ch	de-de	en-au	en-ca	en-gb	en-nz	es-es_tradnl	es-mx	fi-fi	fr-be	fr-ca	fr-ch	fr-fr	is-is	it-ch	it-it	nb-no	nl-be	nl-nl	sv-se	Description
Posted Assembly Order	Účtovaná montážní zakázka	Bogført montageordre	Gebuchter Montageauftrag	Gebuchter Montageauftrag	Gebuchter Montageauftrag	Posted Assembly Order	Posted Assembly Order	Posted Assembly Order	Posted Assembly Order	Pedido de ensamblado registrado	Pedido de ensamblado registrado	Kirjattu kokoonpanotilaus	Ordre d'assemblage validé	Ordre d'assemblage reporté	Ordre d'assemblage validé	Ordre d'assemblage validé	Bókuð samsetningarpöntun	Ordine di assemblaggio registrato	Ordine di assemblaggio registrato	Bokført monteringsordre	Geboekte assemblageorder	Geboekte assemblageorder	Bokförd monteringsorder	"Historical record (Assembly). Resulting posted header capturing output and consumption from an Assembly Order; immutable."
Posted Purchase Invoice	Účtovaná nákupní faktura	Bogført købsfaktura	Geb. Einkaufsrechnung	Geb. Einkaufsrechnung	Geb. Einkaufsrechnung	Posted Purchase Invoice	Posted Purchase Invoice	Posted Purchase Invoice	Posted Purchase Invoice	Histórico facturas compra	Histórico facturas compra	Kirjattu ostolasku	Facture achat enregistrée	Facture achat reportée	Facture achat enregistrée	Facture achat enregistrée	Bókaður innkaupareikningur	Fattura acquisto registrata	Fattura acquisto registrata	Bokført kjøpsfaktura	Geboekte inkoopfactuur	Geboekte inkoopfactuur	Bokförd inköpsfaktura	"Posted vendor invoice (Purchasing). Final document creating vendor ledger and G/L entries; corrections via Credit Memo."
Posted Purchase Receipt	Účtovaná nákupní příjemka	Bogført købsleverance	Geb. Einkaufslieferung	Geb. Einkaufslieferung	Geb. Einkaufslieferung	Posted Purchase Receipt	Posted Purchase Receipt	Posted Purchase Receipt	Posted Purchase Receipt	Histórico albaranes compra	Histórico albaranes compra	Kirjattu ostovastaanotto	Réception achat enregistrée	Réception achat reportée	Réception achat enregistrée	Réception achat enregistrée	Bókuð innkaupamóttaka	Ricezione acquisto registrata	Ricezione acquisto registrata	Bokført mottak	Geboekte inkoopontvangst	Geboekte inkoopontvangst	Bokförd inköpsinleverans	"Posted receipt document (Purchasing). Confirms physical receipt; may precede invoicing; creates Item Ledger Entries."
Posted Sales Invoice	Účtovaná prodejní faktura	Bogført salgsfaktura	Geb. Verkaufsrechnung	Geb. Verkaufsrechnung	Geb. Verkaufsrechnung	Posted Sales Invoice	Posted Sales Invoice	Posted Sales Invoice	Posted Sales Invoice	Histórico facturas venta	Histórico facturas venta	Kirjattu myyntilasku	Facture vente enregistrée	Facture vente reportée	Facture vente enregistrée	Facture vente enregistrée	Bókaður sölureikningur	Fatture vendita registrate	Fatture vendita registrate	Bokført salgsfaktura	Geboekte verkoopfactuur	Geboekte verkoopfactuur	Bokförd försäljningsfaktura	"Posted customer invoice (Sales). Final sales billing document creating customer and G/L entries; corrected via Sales Credit Memo."
Posted Sales Shipment	Účtovaná prodejní dodávka	Bogført salgsleverance	Geb. Verkaufslieferung	Geb. Verkaufslieferung	Geb. Verkaufslieferung	Posted Sales Shipment	Posted Sales Shipment	Posted Sales Shipment	Posted Sales Shipment	Histórico albaranes venta	Histórico de remisión de venta	Kirjattu myyntitoimitus	Expédition vente enregistrée	Livraison vente reportée	Expédition vente enregistrée	Expédition vente enregistrée	Bókuð söluafhending	Spedizioni vendita registrate	Spedizioni vendita registrate	Bokført følgeseddel	Geboekte verkoopverzending	Geboekte verkoopverzending	Bokförd utleverans	"Posted shipment document (Sales). Confirms goods shipped; may precede invoicing; creates Item Ledger Entries."
Production Order	Výrobní zakázka	Produktionsordre	Fertigungsauftrag	Fertigungsauftrag	Fertigungsauftrag	Production Order	Production Order	Production Order	Production Order	Orden producción	Orden producción	Tuotantotilaus	Ordre de fabrication	Bon de production	Ordre de fabrication	Ordre de fabrication	Framleiðslupöntun	Ordine di produzione	Ordine di produzione	Produksjonsordre	Productieorder	Productieorder	Produktionsorder	Manufacturing order (Manufacturing). Controls material consumption and output with statuses (Planned, Firm Planned, Released, Finished).
Project	Projekt	Projekt	Projekt	Projekt	Projekt	Project	Project	Project	Project	Proyecto	Proyecto	Projekti	Projet	Projet	Projet	Projet	Verkefni	Progetto	Progetto	Prosjekt	Project	Project	Projekt	Project, formarly called Job. Entity managing tasks, resources, billing for customer or internal projects.
Purchase Credit Memo	Nákupní dobropis	Købskreditnota	Einkaufsgutschrift	Einkaufsgutschrift	Einkaufsgutschrift	Purchase CR/Adj Note	Purchase Credit Memo	Purchase Credit Memo	Purchase Credit Memo	Nota abono compra	Nota de crédito de compra	Ostohyvityslasku	Avoir achat	Note de crédit achat	Avoir achat	Avoir achat	Innkaupakreditreikningur	Nota credito acquisto	Nota credito acquisto	Kjøpskreditnota	Inkoopcreditnota	Inkoopcreditnota	Inköpskreditnota	"Document (Purchasing). Reverses or adjusts posted purchase invoice amounts; creates corrective ledger entries."
Purchase Invoice	Nákupní faktura	Købsfaktura	Einkaufsrechnung	Einkaufsrechnung	Einkaufsrechnung	Purchase Invoice	Purchase Invoice	Purchase Invoice	Purchase Invoice	Factura compra	Factura compra	Ostolasku	Facture achat	Facture achat	Facture achat	Facture achat	Innkaupareikningur	Fattura acquisto	Fattura acquisto	Kjøpsfaktura	Inkoopfactuur	Inkoopfactuur	Inköpsfaktura	"Document (Purchasing). Vendor billing prior to posting; upon posting becomes Posted Purchase Invoice."
Production Forecast	Výrobní prognóza	Produktionsforecast	Absatzplanung	Absatzplanung	Absatzplanung	Production Forecast	Production Forecast	Production Forecast	Production Forecast	Previsión producción	Previsión producción	Tuotantoennuste	Prévision production	Prévision production	Prévision production	Prévision production	Framleiðsluspá	Previsione di produzione	Previsione di produzione	Produksjonsprognose	Productieprognose	Productieprognose	Produktionsprognos	Anticipated production demand dataset (Manufacturing). Time-phased item quantities (sales/component) feeding planning suggestions.
Production Journal	Deník výroby	Produktionskladde	Produktions Buch.-Blatt	Produktions Erf.-Journal	Produktions Buch.-Blatt	Production Journal	Production Journal	Production Journal	Production Journal	Diario de producción	Diario de producción	Tuotantopäiväkirja	Feuille production	Journal de production	Feuille production	Feuille production	Framleiðslubók	Registrazioni di produzione	Registrazioni di produzione	Produksjonskladd	Productiedagboek	Productiedagboek	Produktionsjournal	"Journal (Manufacturing). Used to post consumption and output for production orders in one entry; alternative to separate journals."
Purchase Line Discount	Sleva nákupního řádku	Købslinjerabat	Einkaufszeilenrabatt	Einkaufszeilenrabatt	Einkaufszeilenrabatt	Purchase Line Discount	Purchase Line Discount	Purchase Line Discount	Purchase Line Discount	Descuento línea compra	Descuento línea compra	Ostorivin alennus	Remise ligne achat	Escompte ligne d'achat	Remise ligne achat	Remise ligne achat	Innkaupalínuafsláttur	Sconto riga acquisto	Sconto riga acquisto	Bestillingslinjerabatt	Inkoopregelkorting	Inkoopregelkorting	Inköpsradrabatt	"Pricing element (Purchasing). Setup or calculated discount applied to purchase line based on item, vendor, quantity, date; reduces line cost before posting."
Purchase Order	Nákupní objednávka	Købsordre	Einkaufsbestellung	Einkaufsbestellung	Einkaufsbestellung	Purchase Order	Purchase Order	Purchase Order	Purchase Order	Pedido compra	Pedido compra	Ostotilaus	Commande achat	Bon de commande	Commande achat	Commande achat	Innkaupapöntun	Ordine acquisto	Ordine acquisto	Bestilling	Inkooporder	Inkooporder	Inköpsorder	"Commitment document (Purchasing). Authorizes vendor supply; supports partial receipts/invoicing; central to planning demand."
Purchase Price	Nákupní cena	Købspris	Einkaufspreis	Einkaufspreis	Einkaufspreis	Purchase Price	Purchase Price	Purchase Price	Purchase Price	Precio compra	Precio compra	Ostohinta	Prix achat	Prix achat	Prix achat	Prix achat	Innkaupsverð	Prezzo acquisto	Prezzo acquisto	Kjøpspris	Inkoopprijs	Inkoopprijs	Inköpspris	Pricing record (Purchasing). Condition-based unit cost entries (vendor, item, variant, quantity, currency, dates) used in price determination.
Purchase Quote	Nákupní poptávka	Købsrekvisition	Einkaufsanfrage	Einkaufsofferte	Einkaufsanfrage	Purchase Quote	Purchase Quote	Purchase Quote	Purchase Quote	Oferta de compra	Cotización de compra	Ostotarjous	Demande de prix	Devis d'achat	Demande de prix	Demande de prix	Innkaupabeiðni	Offerta di acquisto	Offerta di acquisto	Forespørsel	Inkoopofferte	Inkoopofferte	Inköpsoffert	"Pre-commitment document (Purchasing). Request/offer stage; can be converted to Purchase Order; no ledger posting."
Purchase Receipt	Nákupní příjemka	Købsleverance	Einkaufslieferung	Einkaufslieferung	Einkaufslieferung	Purchase Receipt	Purchase Receipt	Purchase Receipt	Purchase Receipt	Albarán compra	Recepción de compra	Ostovastaanotto	Réception achat	Réception achat	Réception achat	Réception achat	Innkaupamóttaka	Ricezione acquisti	Ricezione acquisti	Kjøpsmottak	Inkoopontvangst	Inkoopontvangst	Inköpsleverans	"Process/document (Purchasing). Receipt posting that updates inventory and creates Posted Purchase Receipt; may precede invoice."
Purchase Return Order	Objednávka nákupní vratky	Købsreturvareordre	Einkaufsreklamation	Einkaufsreklamation	Einkaufsreklamation	Purchase Return Order	Purchase Return Order	Purchase Return Order	Purchase Return Order	Devolución compra	Devolución compra	Ostopalautustilaus	Retour achat	Retour achat	Retour achat	Retour achat	Vöruskilapöntun innkaupa	Ordine di reso acquisto	Ordine di reso acquisto	Bestillingsretur	Inkoopretourorder	Inkoopretourorder	Inköpsreturorder	"Return process document (Purchasing). Manages returning goods/services to vendor; can create Return Shipment and Credit Memo."
Reordering Policy	Způsob přiobjednání	Genbestillingsmetode	Wiederbeschaffungsverfahren	Wiederbeschaffungsverfahren	Wiederbeschaffungsverfahren	Reordering Policy	Reordering Policy	Reordering Policy	Reordering Policy	Directiva reaprov.	Directiva reaprov.	Uusintatilaustapa	Méthode réapprovisionnement	Politique réapprovisionnement	Méthode réapprovisionnement	Méthode réapprovisionnement	Endurpöntunarstefna	Metodo di riordino	Metodo di riordino	Gjenbestillingsprinsipp	Bestelbeleid	Bestelbeleid	Partiformningsmetod	Planning parameter (Inventory Planning). Defines lot sizing algorithm (Fixed Order Qty., Lot-for-Lot, Maximum Qty., Order, etc.) influencing replenishment suggestions.
Report Layout	Rozvržení sestavy	Rapportlayout	Berichtslayout	Berichtslayout	Berichtslayout	Report Layout	Report Layout	Report Layout	Report Layout	Diseño de informe	Diseño de informe	Raporttiasettelu	Présentation de l’état	Disposition du rapport	Présentation de l’état	Présentation de l’état	Útlit skýrslu	Area di disposizione report	Area di disposizione report	Rapportoppsett	Rapportlay-out	Rapportlay-out	Rapportlayout	Design definition (Reporting). Custom or built-in layout (RDLC, Word, Excel) used to format report output separate from data set.
Quality Measure	Míra kvality	Kvalitetsmål	Prüfmaßnahme	Prüfmassnahme	Prüfmaßnahme	Quality Measure	Quality Measure	Quality Measure	Quality Measure	Medida calidad	Medida calidad	Laatutoimi	Contrôle qualité	Mesure de la qualité	Contrôle qualité	Contrôle qualité	Gæðaráðstafanir	Controllo qualità	Controllo qualità	Kvalitetsmål	Kwaliteitsmeting	Kwaliteitsmeting	Kvalitetsmått	"Attribute metric (Manufacturing/Quality). Defined measurement (e.g., length, weight) used in routing or inspection; referenced by operations."
Replenishment System	Systém doplnění	Genbestillingssystem	Beschaffungsmethode	Beschaffungsmethode	Beschaffungsmethode	Replenishment System	Replenishment System	Replenishment System	Replenishment System	Sistema reposición	Sistema reposición	Täydennysjärjestelmä	Système réappro.	Système de réapprovisionnement	Système réappro.	Système réappro.	Áfyllingarkerfið	Sistema di rifornimento	Sistema di rifornimento	Etterfyllingssystem	Aanvullingsmethode	Aanvullingsmethode	Återanskaffningssystem	"Planning method field (Inventory). Defines supply source (Purchase, Transfer, Prod. Order, Assembly) for item/SKU; drives suggestion type."
Reservation Entry	Položka rezervace	Reservationspost	Reservierungsposten	Reservierungsposten	Reservierungsposten	Reservation Entry	Reservation Entry	Reservation Entry	Reservation Entry	Mov. reserva	Mov. reserva	Varaustapahtuma	Ecriture réservation	Écriture de réservation	Ecriture réservation	Ecriture réservation	Frátekningarfærsla	Movimenti impegni	Movimenti impegni	Reservasjonspost	Reserveringspost	Reserveringspost	Reservationstransaktion	Link record (Availability). System-generated record tying supply to demand (orders, journals) to guarantee quantity/lot/serial assignment.
Responsibility Center	Centrum odpovědnosti	Ansvarscenter	Zuständigkeitseinheitencode	Zuständigkeitseinheitencode	Zuständigkeitseinheitencode	Responsibility Centre	Responsibility Centre	Responsibility Centre	Responsibility Centre	Centro responsabilidad	Centro responsabilidad	Vastuupaikka	Centre de gestion	Centre de gestion	Centre de gestion	Centre de gestion	Ábyrgðarstöð	Centro di responsabilità	Centro di responsabilità	Ansvarssenter	Divisie	Divisie	Ansvarsenhet	Organizational unit (Multi-site). Defines location-based responsibility for sales, purchase, service processing and defaults.
Resource	Zdroj	Ressource	Ressource	Ressource	Ressource	Resource	Resource	Resource	Resource	Recurso	Recurso	Resurssi	Ressource	Ressource	Ressource	Ressource	Forði	Risorsa	Risorsa	Ressurs	Resource	Resource	Resurs	"Capacity or billed entity (Jobs/Service). Represents person or machine for time usage and billing; distinct from Item (inventory)."
Resource Group	Skupina zdrojů	Ressourcegruppe	Ressourcengruppe	Ressourcengruppe	Ressourcengruppe	Resource Group	Resource Group	Resource Group	Resource Group	Familia recurso	Familia recurso	Resurssiryhmä	Groupe ressources	Groupe ressources	Groupe ressources	Groupe ressources	Forðaflokkur	Gruppo risorse	Gruppo risorse	Ressursgruppe	Resourcegroep	Resourcegroep	Resursgrupp	Grouping (Jobs/Service). Aggregates Resources with similar skills/capacity for planning and assignment.
Return Receipt	Příjemka vratky	Returkvittering	Rücksendung	Rücksendung	Rücksendung	Return Receipt	Return Receipt	Return Receipt	Return Receipt	Recepción de devolución	Recepción de devolución	Palautusvastaanotto	Réception retour	Réception retour	Réception retour	Réception retour	Vöruskilamóttaka	Carico da reso	Carico da reso	Returseddel	Retourontvangst	Retourontvangst	Returinleverans	"Posted inbound return document (Sales Returns). Confirms receipt of returned goods from customer; updates inventory and customer ledger."
Return Shipment	Dodávka vratky	Returforsendelse	Rücklieferung	Rücklieferung	Rücklieferung	Return Shipment	Return Shipment	Return Shipment	Return Shipment	Envío de devolución	Envío de devolución	Palautustoimitus	Expédition retour	Livraison retour	Expédition retour	Expédition retour	Vöruskilaafhending	Spedizione reso	Spedizione reso	Returforsendelse	Retourverzending	Retourverzending	Returutleverans	"Posted outbound return document (Purchase Returns). Confirms shipment of goods back to vendor; updates inventory and vendor ledger."
Resource Capacity	Kapacita zdroje	Ressourcekapacitet	Ressourcenkapazität	Ressourcenkapazität	Ressourcenkapazität	Resource Capacity	Resource Capacity	Resource Capacity	Resource Capacity	Capacidad recurso	Capacidad recurso	Resurssikapasiteetti	Capacité ressource	Capacité des ressources	Capacité ressource	Capacité ressource	Forðageta	Capacità risorsa	Capacità risorsa	Ressurskapasitet	Resourcecapaciteit	Resourcecapaciteit	Resurskapacitet	"Available time measure (Jobs/Service). Defines quantity of resource availability per period for scheduling; considers calendars."
Resource Journal	Deník zdrojů	Ressourcekladde	Ressourcen Buch.-Blatt	Ressourcen Erf.-Journal	Ressourcen Buch.-Blatt	Resource Journal	Resource Journal	Resource Journal	Resource Journal	Diario recurso	Diario recurso	Resurssipäiväkirja	Feuille ressource	Journal ressource	Feuille ressource	Feuille ressource	Forðabók	Registrazioni risorse	Registrazioni risorse	Ressurskladd	Resourcedagboek	Resourcedagboek	Resursjournal	Journal (Resources). Staging for usage entries (time/cost) to post Resource Ledger Entries and job/service costs.
Resource Skill	Odbornost zdroje	Ressourcekvalifikation	Ressourcenqualifikation	Ressourcenqualifikation	Ressourcenqualifikation	Resource Skill	Resource Skill	Resource Skill	Resource Skill	Cualificación recurso	Habilidad recurso	Resurssin taito	Compétence ressource	Compétence ressource	Compétence ressource	Compétence ressource	Sérþekking forða	Competenza risorsa	Competenza risorsa	Ressurskompetanse	Resourcebekwaamheid	Resourcebekwaamheid	Resurskvalifikation	Capability qualifier (Service). Tagged competencies associated with Resources and Service Items for assignment filtering.
Revaluation Journal	Deník přecenění	Værdireguleringskladde	Neubewertungs Buch.-Blatt	Neubewertungs Erf.-Journal	Neubewertungs Buch.-Blatt	Revaluation Journal	Revaluation Journal	Revaluation Journal	Revaluation Journal	Diario revalorizac.	Diario revalorizac.	Uudelleenarvostuspvk	Feuille réévaluation	Journal réévaluation	Feuille réévaluation	Feuille réévaluation	Endurmatsbók	Registrazioni rivalutazioni	Registrazioni rivalutazioni	Revalueringskladd	Herwaarderingsdagboek	Herwaarderingsdagboek	Omvärderingsjournal	"Journal (Inventory Valuation). Staging to adjust item cost (unit cost, valuation) retroactively; posts Value Entries."
Role Center	Centrum rolí	Rollecenter	Rollencenter	Rollencenter	Rollencenter	Role Centre	Role Centre	Role Centre	Role Centre	Área de trabajo	Área de tareas	Roolikeskus	Tableau de bord	Tableau de bord	Tableau de bord	Tableau de bord	Mitt hlutverk	Gestione ruolo utente	Gestione ruolo utente	Rollesenter	Rolcentrum	Rolcentrum	Rollcenter	"Home workspace (UI). Personalized page aggregating KPIs, cues, tasks for a user role; entry point to processes."
Routing	TNG postup	Rute	Arbeitsplan	Arbeitsplan	Arbeitsplan	Routing	Routing	Routing	Routing	Ruta	Ruta	Reititys	Gamme	Itinéraires	Gamme	Gamme	Leið	Ciclo	Ciclo	Rute	Bewerkingsplan	Bewerkingsplan	Operationsföljd	"Definition (Manufacturing). Standard sequence of operations (work/machine centers) producing an item; includes times, tools, scrap factors."
Routing Link Code	Kód vazby TNG	Rutebindingskode	Verbindungscode	Verbindungscode	Verbindungscode	Routing Link Code	Routing Link Code	Routing Link Code	Routing Link Code	Cód. conexión ruta	Cód. conexión ruta	Reitityslinkin koodi	Code lien gamme	Code lien procédure	Code lien gamme	Code lien gamme	Leiðartengilskóði	Cod. collegamento tra ciclo e distinta base	Cod. collegamento tra ciclo e distinta base	Rutekoblingskode	Bew.-plankoppeling	Bew.-plankoppeling	Operationsföljdslänkkod	Synchronization code (Manufacturing). Links BOM components to routing operations for just-in-time consumption flushing.
Safety Stock Quantity	Minimální zásoby	Sikkerhedslager	Sicherheitsbestand	Sicherheitsbestand	Sicherheitsbestand	Safety Stock Quantity	Safety Stock Quantity	Safety Stock Quantity	Safety Stock Quantity	Stock de seguridad	Inventario de seguridad	Varmuusvaraston määrä	Stock de sécurité	Quantité de stocks de sécurité	Stock de sécurité	Stock de sécurité	Magn í öryggisbirgðum	Scorta di sicurezza	Scorta di sicurezza	Sikkerhetslagerantall	Veiligheidsvoorraad	Veiligheidsvoorraad	Säkerhetslager	"Planning buffer (Inventory). Minimum desired on-hand to cover variability; drives replenishment suggestions when projected below."
Sales Credit Memo	Prodejní dobropis	Salgskreditnota	Verkaufsgutschrift	Verkaufsgutschrift	Verkaufsgutschrift	Sales CR/Adj Note	Sales Credit Memo	Sales Credit Memo	Sales Credit Memo	Nota abono venta	Nota de crédito de venta	Myyntihyvityslasku	Avoir vente	Note de crédit de vente	Avoir vente	Avoir vente	Sölukreditreikningur	Nota credito vendita	Nota credito vendita	Salgskreditnota	Verkoopcreditnota	Verkoopcreditnota	Försäljningskreditnota	"Document (Sales). Reverses or adjusts posted Sales Invoice amounts (quantity, price); creates corrective ledger entries."
Routing Line	Řádek TNG postupu	Rutelinje	Arbeitsgang	Arbeitsgang	Arbeitsgang	Routing Line	Routing Line	Routing Line	Routing Line	Línea ruta	Línea ruta	Reititysrivi	Ligne gamme	Ligne itinéraire	Ligne gamme	Ligne gamme	Leiðarlína	Righe cicli produzione	Righe cicli produzione	Rutelinje	Bewerkingsplanregel	Bewerkingsplanregel	Operationsföljdsrad	"Operation line (Manufacturing). Individual step within a Routing defining center, times, scrap, overlap; basis for capacity need."
Routing Version	Verze TNG postupu	Ruteversion	Arbeitsplanversion	Arbeitsplanversion	Arbeitsplanversion	Routing Version	Routing Version	Routing Version	Routing Version	Versión ruta	Versión ruta	Reititys versio	Version gamme	Version d'acheminement	Version gamme	Version gamme	Leiðarútgáfa	Versioni ciclo	Versioni ciclo	Ruteversjon	Bewerkingsplanversie	Bewerkingsplanversie	Oper.följdsversion	Versioned variant (Manufacturing). Alternative effective-dated routing definition for an item (engineering changes, region).
Safety Lead Time	Bezpečná průběžná doba	Sikkerhedstid	Sicherh.-Zuschl. Beschaff.-Zt.	Sicherh.-Zuschl. Beschaff.-Zt.	Sicherh.-Zuschl. Beschaff.-Zt.	Safety Lead Time	Safety Lead Time	Safety Lead Time	Safety Lead Time	Plazo de seguridad	Plazo de seguridad	Toimitusajan varmistus	Délai de sécurité	Délai de sécurité	Délai de sécurité	Délai de sécurité	Öryggisforskot	Lead time di sicurezza	Lead time di sicurezza	Sikkerhetsleveringstid	Veiligheidstijd	Veiligheidstijd	Säkerhetsledtid	"Planning buffer (Inventory Planning). Additional days added to supply lead time to mitigate delays; shifts planned receipt earlier."
Sales Invoice	Prodejní faktura	Salgsfaktura	Verkaufsrechnung	Verkaufsrechnung	Verkaufsrechnung	Sales Invoice	Sales Invoice	Sales Invoice	Sales Invoice	Factura venta	Factura venta	Myyntilasku	Facture vente	Facture vente	Facture vente	Facture vente	Sölureikningur	Fattura vendita	Fattura vendita	Salgsfaktura	Verkoopfactuur	Verkoopfactuur	Försäljningsfaktura	"Document (Sales). Billing document converting shipped or service-delivered lines into receivables; posting creates Customer and G/L entries."
Scrap %	Zmetky %	Spildpct.	Ausschuss %	Ausschuss %	Ausschuss %	Scrap %	Scrap %	Scrap %	Scrap %	% Rechazo	% Rechazo	Hukka-%	% perte	% perte	% perte	% perte	Úrkast%	% scarto	% scarto	Vrak-%	Uitval %	Uitval %	Kassation %	Operation scrap percentage (Manufacturing). Percent used in capacity or cost calculations to inflate required input for expected loss.
Sales Line Discount	Prodejní řádková sleva	Salgslinjerabat	Verkaufszeilenrabatt	Verkaufszeilenrabatt	Verkaufszeilenrabatt	Sales Line Discount	Sales Line Discount	Sales Line Discount	Sales Line Discount	Descuento línea venta	Descuento línea venta	Myyntirivin alennus	Remise ligne vente	Escompte ligne de vente	Remise ligne vente	Remise ligne vente	Sölulínuafsláttur	Sconto Riga Vendita	Sconto Riga Vendita	Salgslinjerabatt	Verkoopregelkorting	Verkoopregelkorting	Förs.radrabatt	"Pricing element (Sales). Calculated or agreed discount reducing line amount; based on customer, item, quantity, dates, campaigns."
Sales Order	Prodejní objednávka	Salgsordre	Verkaufsauftrag	Verkaufsauftrag	Verkaufsauftrag	Sales Order	Sales Order	Sales Order	Sales Order	Pedido venta	Pedido venta	Myyntitilaus	Commande vente	Document de vente	Commande vente	Commande vente	Sölupöntun	Ordine vendita	Ordine vendita	Ordre	Verkooporder	Verkooporder	Försäljningsorder	"Commitment document (Sales). Customer order triggering reservations, planning demand, shipment, and invoicing; supports partial fulfillment."
Sales Price	Prodejní cena	Salgspris	Verkaufspreis	Verkaufspreis	Verkaufspreis	Sales Price	Sales Price	Sales Price	Sales Price	Precio venta	Precio venta	Myyntihinta	Prix vente	Prix de vente	Prix vente	Prix vente	Söluverð	Prezzo vendita	Prezzo vendita	Salgspris	Verkoopprijs	Verkoopprijs	Förs.pris	Pricing record (Sales). Condition-based unit price entries (customer/group/campaign, item, quantity, currency, dates) used in price determination.
Sales Quote	Prodejní nabídka	Salgstilbud	Verkaufsangebot	Verkaufsofferte	Verkaufsangebot	Sales Quote	Sales Quote	Sales Quote	Sales Quote	Oferta venta	Cotización venta	Myyntitarjous	Devis	Devis	Devis	Devis	Sölutilboð	Offerta vendita	Offerta vendita	Tilbud	Verkoopofferte	Verkoopofferte	Försäljningsoffert	"Pre-commitment document (Sales). Offer to customer; can convert to Sales Order; non-posting."
Sales Return Order	Objednávka prodejní vratky	Salgsreturvareordre	Verkaufsreklamation	Verkaufsreklamation	Verkaufsreklamation	Sales Return Order	Sales Return Order	Sales Return Order	Sales Return Order	Devolución venta	Devolución venta	Myyntipalautustilaus	Retour vente	Retour vente	Retour vente	Retour vente	Vöruskilapöntun sölu	Ordine di reso vendita	Ordine di reso vendita	Ordreretur	Verkoopretourorder	Verkoopretourorder	Förs.returorder	"Return process document (Sales). Manages customer returns; leads to Return Receipt and Credit Memo; handles RMA flow."
Sales Shipment	Prodejní dodávka	Salgsforsendelse	Verkaufslieferung	Verkaufslieferung	Verkaufslieferung	Sales Shipment	Sales Shipment	Sales Shipment	Sales Shipment	Albarán de venta	Remisión de venta	Myyntitoimitus	Expédition vente	Livraison vente	Expédition vente	Expédition vente	Söluafhending	Spedizione vendita	Spedizione vendita	Salgslevering	Verkoopverzending	Verkoopverzending	Försäljningsutleverans	"Posted outbound shipment (Sales). Confirms goods shipped; creates Item Ledger Entries; may precede invoicing."
Serial No.	Sériové číslo	Serienr.	Seriennr.	Seriennr.	Seriennr.	Serial No.	Serial No.	Serial No.	Serial No.	Nº serie	Nº serie	Sarjanro	N° de série	N° de série	N° de série	N° de série	Raðnúmer	Nr. seriale	Nr. seriale	Serienr.	Serienummer	Serienummer	Serienr	"Tracking identifier (Inventory). Unique per unit serial number enabling trace and warranty tracking; required for serial-tracked items."
Service Contract	Servisní smlouva	Servicekontrakt	Servicevertrag	Servicevertrag	Servicevertrag	Service Contract	Service Contract	Service Contract	Service Contract	Contrato servicio	Contrato de Servicio	Huoltosopimus	Contrat de service	Contrat de service	Contrat de service	Contrat de service	Þjónustusamningur	Contratto di assistenza	Contratto di assistenza	Servicekontrakt	Servicecontract	Servicecontract	Servicekontrakt	"Agreement (Service). Defines coverage, period, pricing for servicing Service Items; supports periodic invoicing and change logging."
Service Credit Memo	Dobropis servisu	Servicekreditnota	Servicegutschrift	Servicegutschrift	Servicegutschrift	Service CR/Adj Note	Service Credit Memo	Service Credit Memo	Service Credit Memo	Nota abono servicio	Nota de crédito de servicio	Huoltohyvityslasku	Avoir service	Note de crédit service	Avoir service	Avoir service	Þjónustukreditreikningur	Nota di credito assistenza	Nota di credito assistenza	Servicekreditnota	Servicecreditnota	Servicecreditnota	Servicekreditnota	"Document (Service). Reverses or adjusts posted service invoice amounts; posts corrective service and G/L entries."
Shop Calendar	Kalendář dílny	Produktionskalender	Betriebskalender	Betriebskalender	Betriebskalender	Shop Calendar	Shop Calendar	Shop Calendar	Shop Calendar	Calendario planta	Calendario planta	Tuotantokalenteri	Calendrier usine	Calendrier de l'atelier	Calendrier usine	Calendrier usine	Dagatal verkstæðis	Calendario reparto prod.	Calendario reparto prod.	Produksjonskalender	Productieagenda	Productieagenda	Fabrikskalender	Working time template (Manufacturing). Defines shifts/working days applied to Work/Machine Centers for capacity scheduling.
Shop Calendar Holiday	Kalendář volna dílny	Prod.kalender - fridag	Betriebskalenderfeiertage	Betriebskalenderfeiertage	Betriebskalenderfeiertage	Shop Calendar Holiday	Shop Calendar Holiday	Shop Calendar Holiday	Shop Calendar Holiday	Vacaciones calendario planta	Vacaciones calendario planta	Tuotantokalenterin lomapäivä	Jours fériés calendrier usine	Congé calendrier atelier	Jours fériés calendrier usine	Jours fériés calendrier usine	Frídagur á dagatali verkstæðis	Cal. festività rep. prod.	Cal. festività rep. prod.	Produksjonskalender - ferie	Productieagendavakantiedag	Productieagendavakantiedag	Fabrikskalender semester	Exception date entry (Manufacturing). Non-working day overriding Shop Calendar default for capacity calculations.
Service Item	Předmět servisu	Serviceartikel	Serviceartikel	Serviceartikel	Serviceartikel	Service Item	Service Item	Service Item	Service Item	Producto servicio	Producto servicio	Huoltonimike	Article de service	Article de service	Article de service	Article de service	Þjónustuvara	Articolo in assistenza	Articolo in assistenza	Servicevare	Serviceartikel	Serviceartikel	Serviceartikel	Master record (Service). Represents customer item under service (product installed) with warranty, skills, contract links.
